_inputshopbuymultiple;BUY
122105_default_deck;Sigismund Dijkstra's Deck
131101_default_deck;Eredin's Deck
132103_default_deck;Woodland Spirit's Deck
200055_default_deck;Unseen Elder's Deck
200158_default_deck;Dagon's Deck
200159_default_deck;Bran's Deck
200160_default_deck;Crach's Deck
200161_default_deck;Harald's Deck
200162_default_deck;Emhyr's Deck
200163_default_deck;Voorhis' Deck
200164_default_deck;Calveit's Deck
200165_default_deck;Francesca's Deck
200166_default_deck;Eithne's Deck
200167_default_deck;Brouver's Deck
200168_default_deck;Foltest's Deck
200169_default_deck;Radovid's Deck
200170_default_deck;Henselt's Deck
201580_default_deck;Usurper's Deck
201587_default_deck;Whispering Hillock's Deck
201589_default_deck;Filavandrel's Deck
201595_default_deck;Adda's Deck
201597_default_deck;Eist's Deck
201743_default_deck;Arachas Queen's Deck
202115_default_deck;Eldain's Deck
202116_default_deck;Meve's Deck
202117_default_deck;Gernichora's Deck
202118_default_deck;Ardal Aep Dahy's Deck
202119_default_deck;Arnjolf the Patricide's Deck
202148_default_deck;Demavend's Deck
202185_default_deck;Dettlaff's Deck
202186_default_deck;Anna's Deck
202187_default_deck;Calanthe's Deck
202188_default_deck;Dana's Deck
202189_default_deck;Svalblod's Deck
202303_default_deck;Whoreson Junior's Deck
202328_default_deck;King of Beggars' Deck
202347_default_deck;Cyrus Hemmelfart's Deck
202373_default_deck;Gudrun Bjornsdottir's Deck
202390_default_deck;Cleaver's Deck
38512;N/A
6100_title;Sheep Border
accept_eula_button;I have read and accept the agreement
accept_invite_fail_message_description;Could Not Accept Invite
accept_invite_fail_message_title;Invite Error
accept_invite_fail_session_full;Unable to join as the session is already full.
achievement_10001_desc;Complete the tutorial.
achievement_10001_title;Mastered Basics
achievement_10002_desc;Spend a Reward Point.
achievement_10002_title;Rewarding Endeavor
achievement_10003_desc;Unlock any leader ornament in the reward book.
achievement_10003_title;Fancy!
achievement_10100_desc;Spend 100 scraps.
achievement_10100_title;Crafting 101
achievement_10101_desc;Spend 1,000 scraps.
achievement_10101_title;Can't get enough
achievement_10102_desc;Spend 10,000 scraps.
achievement_10102_title;On a Mission
achievement_10103_desc;Spend 20,000 scraps.
achievement_10103_title;Metashifter
achievement_10104_desc;Spend 50,000 scraps.
achievement_10104_title;Gotta craft 'em all
achievement_10200_desc;Spend 100 ore.
achievement_10200_title;Oh look, a keg
achievement_10201_desc;Spend 1,000 ore.
achievement_10201_title;Oh my Gwent!
achievement_10202_desc;Spend 10,000 ore.
achievement_10202_title;Hundred by Hundred
achievement_10203_desc;Spend 20,000 ore.
achievement_10203_title;Spendthrift
achievement_10204_desc;Spend 50,000 ore.
achievement_10204_title;Filthy Rich
achievement_10300_desc;Spend 100 meteorite powder.
achievement_10300_title;Ohhhh, shiny!
achievement_10301_desc;Spend 1,000 meteorite powder.
achievement_10301_title;Beauty's the new Badass
achievement_10302_desc;Spend 5,000 meteorite powder.
achievement_10302_title;Fashionista
achievement_10303_desc;Spend 10,000 meteorite powder.
achievement_10303_title;Simply exquisite!
achievement_10304_desc;Spend 20,000 meteorite powder.
achievement_10304_title;Chasing Rainbows
achievement_10400_desc;Spend 10 reward points.
achievement_10400_title;Ink Markings
achievement_10401_desc;Spend 50 reward points.
achievement_10401_title;Trail of Breadcrumbs
achievement_10402_desc;Spend 100 reward points.
achievement_10402_title;Interconnectedness of all Things
achievement_10403_desc;Spend 500 reward points.
achievement_10403_title;Tree Hugger
achievement_10404_desc;Spend 1,000 reward points.
achievement_10404_title;Connect the Dots
achievement_10501_desc;Reveal 10 cards during online matches.
achievement_10501_title;Peeakaboo
achievement_10502_desc;Reveal 100 cards during online matches.
achievement_10502_title;Unmasked
achievement_10503_desc;Reveal 500 cards during online matches.
achievement_10503_title;No place to hide
achievement_10504_desc;Reveal 1,000 cards during online matches.
achievement_10504_title;All-seeing eye
achievement_10505_desc;Order 10 units during online matches.
achievement_10505_title;Tight Formation
achievement_10506_desc;Order 100 units during online matches.
achievement_10506_title;Left, right, left right!
achievement_10507_desc;Order 500 units during online matches.
achievement_10507_title;Blind Obedience
achievement_10508_desc;Order 1,000 units during online matches.
achievement_10508_title;Follow the Leader
achievement_10509_desc;Destroy 10 non-human units during online matches.
achievement_10509_title;Fear and Trembling
achievement_10510_desc;Destroy 100 non-human units during online matches.
achievement_10510_title;Any last words?
achievement_10511_desc;Destroy 1,000 non-human units during online matches.
achievement_10511_title;Humanist
achievement_10512_desc;Control 10 units with 10 power at the same time during an online match.
achievement_10512_title;10/10
achievement_10513_desc;Fill your entire side of the board with units and/or artifacts.
achievement_10513_title;Its getting crowded in here
achievement_10514_desc;Use at least 1 taunt in 10 different online matches.
achievement_10514_title;Come at me
achievement_10515_desc;Use at least 1 taunt in 100 different online matches.
achievement_10515_title;That all you got?
achievement_10516_desc;Use at least 1 taunt in 1,000 different online matches.
achievement_10516_title;Hear me ROAR!
achievement_10517_desc;Get over 30 points in a single turn during an online match.
achievement_10517_title;Swing Time
achievement_10518_desc;Deal 10 damage to your own units during online matches.
achievement_10518_title;This won't hurt a bit
achievement_10519_desc;Deal 100 damage to your own units during online matches.
achievement_10519_title;No Pain no gain
achievement_10520_desc;Deal 1,000 damage to your own units during online matches.
achievement_10520_title;Discipline and Punish
achievement_10521_desc;Win a round by scoring 100 points more than your opponent in an online match.
achievement_10521_title;Overkill
achievement_10522_desc;Win the first round in an online match with no cards in your hand remaining.
achievement_10522_title;All in!
achievement_10523_desc;Win an online match after passing the first round with 10 cards in hand.
achievement_10523_title;Hidden Plan
achievement_10524_desc;Win an online match after using all your mulligans in the first round.
achievement_10524_title;The bets are in
achievement_10525_desc;Destroy 5 or more enemy units in one turn during an online match.
achievement_10525_title;Flawless Execution
achievement_10526_desc;Draw your entire deck and win an online match.
achievement_10526_title;No drop wasted
achievement_10527_desc;Play 30 gold cards during online matches.
achievement_10527_title;Quality over Quantity
achievement_10528_desc;Play 100 Premium cards during online matches.
achievement_10528_title;All about that swag
achievement_10529_desc;Win a game without destroying any of your opponent's cards.
achievement_10529_title;Imagine all the people
achievement_10530_desc;Win the last round with no cards on your opponent's side of the board during an online match.
achievement_10530_title;Annihilation
achievement_10531_desc;Win a match using a deck that has 100 provisions or less.
achievement_10531_title;Poor Man's Gwent
achievement_10533_desc;Have at least 5 statuses on a single unit during an online match.
achievement_10533_title;Ch-ch-changes!
achievement_10534_desc;Win an online match in under 7 minutes.
achievement_10534_title;Flash, Bang, Clear!
achievement_10536_desc;Play 1,000 cards in online matches.
achievement_10536_title;Millennial
achievement_10537_desc;Play 10,000 cards in online matches.
achievement_10537_title;House of Cards
achievement_10538_desc;Play 100,000 cards in online matches.
achievement_10538_title;Everyday I'm shufflin'
