_inputshopbuymultiple;COMPRAR
122105_default_deck;Baralho de Sigismund Dijkstra
131101_default_deck;Baralho de Eredin
132103_default_deck;Baralho do Espírito do Bosque
200055_default_deck;Baralho do Ancião Sonegado
200158_default_deck;Baralho de Dagon
200159_default_deck;Baralho de Bran
200160_default_deck;Baralho de Crach
200161_default_deck;Baralho de Harald
200162_default_deck;Baralho de Emhyr
200163_default_deck;Baralho de Voorhis
200164_default_deck;Baralho de Calveit
200165_default_deck;Baralho de Francesca
200166_default_deck;Baralho de Eithné
200167_default_deck;Baralho de Brouver
200168_default_deck;Baralho de Foltest
200169_default_deck;Baralho de Radovid
200170_default_deck;Baralho de Henselt
201580_default_deck;Baralho do Usurpador
201587_default_deck;Baralho da Colina Sussurrante
201589_default_deck;Baralho de Filavandrel
201595_default_deck;Baralho de Adda
201597_default_deck;Baralho de Eist
201743_default_deck;Baralho da Aracna Rainha
202115_default_deck;Baralho do Eldain
202116_default_deck;Baralho da Meve
202117_default_deck;Baralho da Gernichora
202118_default_deck;Baralho do Ardal aep Dahy
202119_default_deck;Baralho do Arnjolf, o Patricida
202148_default_deck;Baralho de Demavend
202185_default_deck;Baralho de Dettlaff
202186_default_deck;Baralho de Anna
202187_default_deck;Baralho de Calanthe
202188_default_deck;Baralho de Dana
202189_default_deck;Baralho de Svalblod
202303_default_deck;Baralho do Salafrário Filho
202328_default_deck;Baralho do Rei dos Mendigos
202347_default_deck;Baralho de Cyrus Hemmelfart
202373_default_deck;Baralho de Gudrun Bjornsdottir
202390_default_deck;Baralho do Cutelo
38512;N/A
6100_title;Borda de Ovelha
accept_eula_button;Eu li e aceito o Acordo de Usuário de GWENT
accept_invite_fail_message_description;Não foi possível aceitar convite
accept_invite_fail_message_title;Erro de convite
accept_invite_fail_session_full;Não foi possível entrar pois a sessão está cheia.
achievement_10001_desc;Complete o tutorial.
achievement_10001_title;Dominou o básico
achievement_10002_desc;Gaste um Ponto de Recompensa.
achievement_10002_title;Empreitada recompensadora
achievement_10003_desc;Desbloqueie qualquer ornamento no livro de recompensas.
achievement_10003_title;Chique!
achievement_10100_desc;Gaste 100 restos.
achievement_10100_title;Noções básicas de criação
achievement_10101_desc;Gaste 1.000 restos.
achievement_10101_title;Nunca será o bastante
achievement_10102_desc;Gaste 10.000 restos.
achievement_10102_title;Em uma missão
achievement_10103_desc;Gaste 20.000 restos.
achievement_10103_title;Quebrando os limites
achievement_10104_desc;Gaste 50.000 restos.
achievement_10104_title;Temos que criar
achievement_10200_desc;Gaste 100 minérios.
achievement_10200_title;Ah, veja, um barril
achievement_10201_desc;Gaste 1.000 minérios.
achievement_10201_title;Gwenta coração!
achievement_10202_desc;Gaste 10.000 minérios.
achievement_10202_title;Cem por cem
achievement_10203_desc;Gaste 20.000 minérios.
achievement_10203_title;Gastador
achievement_10204_desc;Gaste 50.000 minérios.
achievement_10204_title;Podre de rico
achievement_10300_desc;Gaste 100 de pó de meteorito.
achievement_10300_title;Uhhh que brilhaaante!
achievement_10301_desc;Gaste 1.000 de pó de meteorito.
achievement_10301_title;A beleza é o novo maioral
achievement_10302_desc;Gaste 5.000 de pó de meteorito.
achievement_10302_title;Fashionista
achievement_10303_desc;Gaste 10.000 de pó de meteorito.
achievement_10303_title;Simplesmente requintado!
achievement_10304_desc;Gaste 20.000 de pó de meteorito.
achievement_10304_title;Perseguindo arco-íris
achievement_10400_desc;Gaste 10 pontos de recompensa.
achievement_10400_title;Marcas de tinta
achievement_10401_desc;Gaste 50 pontos de recompensa.
achievement_10401_title;A trilha de migalhas
achievement_10402_desc;Gaste 100 pontos de recompensa.
achievement_10402_title;Interligação de todas as coisas
achievement_10403_desc;Gaste 500 pontos de recompensa.
achievement_10403_title;Ambientalista
achievement_10404_desc;Gaste 1.000 pontos de recompensa.
achievement_10404_title;Ligar os pontos
achievement_10501_desc;Revele 10 cartas durante partidas online.
achievement_10501_title;Achou!
achievement_10502_desc;Revele 100 cartas durante partidas online.
achievement_10502_title;Desmascarado
achievement_10503_desc;Revele 500 cartas durante partidas online.
achievement_10503_title;Sem lugar para se esconder
achievement_10504_desc;Revele 1.000 cartas durante partidas online.
achievement_10504_title;O olho que tudo vê
achievement_10505_desc;Comande 10 unidades durante partidas online.
achievement_10505_title;Formação compacta
achievement_10506_desc;Comande 100 unidades durante partidas online.
achievement_10506_title;Esquerda, direita, esquerda, direita!
achievement_10507_desc;Comande 500 unidades durante partidas online.
achievement_10507_title;Obediência cega
achievement_10508_desc;Comande 1.000 unidades durante partidas online.
achievement_10508_title;O mestre mandou
achievement_10509_desc;Destrua 10 unidades não-humanas durante partidas online.
achievement_10509_title;Medo e pavor
achievement_10510_desc;Destrua 100 unidades não-humanas durante partidas online.
achievement_10510_title;Últimas palavras?
achievement_10511_desc;Destrua 1.000 unidades não-humanas durante partidas online.
achievement_10511_title;Humanista
achievement_10512_desc;Controle 10 unidades com 10 de poder ao mesmo tempo durante uma partida online.
achievement_10512_title;Nota 10
achievement_10513_desc;Encha todo o seu lado do tabuleiro com unidades e/ou artefatos.
