_inputshopbuymultiple;KUP
122105_default_deck;Talia Sigismunda Dijkstry
131101_default_deck;Talia Eredina
132103_default_deck;Talia Ducha Lasu
200055_default_deck;Talia Ukrytego
200158_default_deck;Talia Dagona
200159_default_deck;Talia Brana
200160_default_deck;Talia Cracha
200161_default_deck;Talia Haralda
200162_default_deck;Talia Emhyra
200163_default_deck;Talia Voorhisa
200164_default_deck;Talia Calveita
200165_default_deck;Talia Franceski
200166_default_deck;Talia Eithne
200167_default_deck;Talia Brouvera
200168_default_deck;Talia Foltesta
200169_default_deck;Talia Radowida
200170_default_deck;Talia Henselta
201580_default_deck;Talia Uzurpatora
201587_default_deck;Talia Szepczącego Wzgórza
201589_default_deck;Talia Filavandrela
201595_default_deck;Talia Addy
201597_default_deck;Talia Eista
201743_default_deck;Talia Królowej Krabopająków
202115_default_deck;Talia Eldaina
202116_default_deck;Talia Meve
202117_default_deck;Talia Gernichory
202118_default_deck;Talia Ardala Aep Dahy'ego
202119_default_deck;Talia Arnjolfa Ojcobójcy
202148_default_deck;Talia Demawenda
202185_default_deck;Talia Dettlaffa
202186_default_deck;Talia Anny
202187_default_deck;Talia Calanthe
202188_default_deck;Talia Dany
202189_default_deck;Talia Svalbloda
202303_default_deck;Talia Skurwiela Juniora
202328_default_deck;Talia Króla Żebraków
202347_default_deck;Talia Cyrusa Hemmelfarta
202373_default_deck;Talia Gudrun Bjornsdottir
202390_default_deck;Talia Tasaka
38512;N/A
6100_title;Ramka Owcy
accept_eula_button;Zapoznałem się i akceptuję Umowę Licencyjną Użytkownika GWINT
accept_invite_fail_message_description;Nie udało się przyjąć zaproszenia
accept_invite_fail_message_title;Błąd w trakcie zaproszenia
accept_invite_fail_session_full;Nie można dołączyć, sesja jest już pełna.
achievement_10001_desc;Ukończ samouczek.
achievement_10001_title;Podstawy w małym palcu
achievement_10002_desc;Wydaj punkt nagród.
achievement_10002_title;Nagroda za wysiłek
achievement_10003_desc;Odblokuj ozdobę dowolnego dowódcy w Księdze Nagród.
achievement_10003_title;Szałowo!
achievement_10100_desc;Wydaj 100 fragmentów kart.
achievement_10100_title;ABC tworzenia
achievement_10101_desc;Wydaj 1000 fragmentów kart.
achievement_10101_title;Wciąż mi mało
achievement_10102_desc;Wydaj 10 000 fragmentów kart.
achievement_10102_title;Mam misję
achievement_10103_desc;Wydaj 20 000 fragmentów kart.
achievement_10103_title;Nowe rozdanie
achievement_10104_desc;Wydaj 50 000 fragmentów kart.
achievement_10104_title;Utwórz je wszystkie
achievement_10200_desc;Wydaj 100 sztuk złota.
achievement_10200_title;Niezła beka
achievement_10201_desc;Wydaj 1000 sztuk złota.
achievement_10201_title;Jasny gwint!
achievement_10202_desc;Wydaj 10 000 sztuk złota.
achievement_10202_title;Sto na sto
achievement_10203_desc;Wydaj 20 000 sztuk złota.
achievement_10203_title;Rozrzutnik
achievement_10204_desc;Wydaj 50 000 sztuk złota.
achievement_10204_title;Obrzydliwie bogaty
achievement_10300_desc;Wydaj 100 jednostek pyłu meteorytowego.
achievement_10300_title;Ale się błyszczy!
achievement_10301_desc;Wydaj 1000 jednostek pyłu meteorytowego.
achievement_10301_title;W pięknie siła
achievement_10302_desc;Wydaj 5000 jednostek pyłu meteorytowego.
achievement_10302_title;Zadawanie szyku
achievement_10303_desc;Wydaj 10 000 jednostek pyłu meteorytowego.
achievement_10303_title;Po prostu prześliczne!
achievement_10304_desc;Wydaj 20 000 jednostek pyłu meteorytowego.
achievement_10304_title;W pogoni za tęczą
achievement_10400_desc;Wydaj 10 punktów nagród.
achievement_10400_title;Oznaczenia tuszem
achievement_10401_desc;Wydaj 50 punktów nagród.
achievement_10401_title;Ślad z okruszków
achievement_10402_desc;Wydaj 100 punktów nagród.
achievement_10402_title;Wszystko się ze sobą łączy
achievement_10403_desc;Wydaj 500 punktów nagród.
achievement_10403_title;Miłośnik drzewek
achievement_10404_desc;Wydaj 1000 punktów nagród.
achievement_10404_title;Połącz kropki
achievement_10501_desc;Ujawnij 10 kart w grach sieciowych.
achievement_10501_title;A kuku!
achievement_10502_desc;Ujawnij 100 kart w grach sieciowych.
achievement_10502_title;Maski spadły
achievement_10503_desc;Ujawnij 500 kart w grach sieciowych.
achievement_10503_title;Nie ma się gdzie ukryć
achievement_10504_desc;Ujawnij 1000 kart w grach sieciowych.
achievement_10504_title;Wszechwidzące oko
achievement_10505_desc;Wydaj Rozkaz 10 jednostkom w grach sieciowych.
achievement_10505_title;Zdyscyplinowany oddział
achievement_10506_desc;Wydaj Rozkaz 100 jednostkom w grach sieciowych.
achievement_10506_title;Lewa, prawa, lewa, prawa!
achievement_10507_desc;Wydaj Rozkaz 500 jednostkom w grach sieciowych.
achievement_10507_title;Ślepe posłuszeństwo
achievement_10508_desc;Wydaj Rozkaz 1000 jednostek w grach sieciowych.
achievement_10508_title;Śladem dowódcy
achievement_10509_desc;Zniszcz 10 nieludzkich jednostek w grach sieciowych.
achievement_10509_title;Drżąca trwoga
achievement_10510_desc;Zniszcz 100 nieludzkich jednostek w grach sieciowych.
achievement_10510_title;Jakieś ostatnie słowa?
achievement_10511_desc;Zniszcz 1000 nieludzkich jednostek w grach sieciowych.
achievement_10511_title;Humanista
achievement_10512_desc;Jednocześnie kontroluj 10 jednostek o sile 10 w grze sieciowej.
achievement_10512_title;10/10
achievement_10513_desc;Zapełnij swoją stronę pola bitwy jednostkami lub artefaktami.
achievement_10513_title;Robi się tłok
achievement_10514_desc;Użyj co najmniej 1 okrzyku w 10 różnych grach sieciowych.
achievement_10514_title;Spróbuj szczęścia
achievement_10515_desc;Użyj co najmniej 1 okrzyku w 100 różnych grach sieciowych.
achievement_10515_title;Tylko na tyle cię stać?
achievement_10516_desc;Użyj co najmniej 1 okrzyku w 1000 różnych gier sieciowych.
achievement_10516_title;Usłysz mój RYK!
achievement_10517_desc;Zdobądź ponad 30 punktów w 1 turze w grze sieciowej.
achievement_10517_title;Niezła jazda
achievement_10518_desc;Zadaj 10 pkt obrażeń własnym jednostkom w grach sieciowych.
achievement_10518_title;Nie będzie bolało
achievement_10519_desc;Zadaj 100 pkt obrażeń własnym jednostkom w grach sieciowych.
achievement_10519_title;Nie ma, że boli
achievement_10520_desc;Zadaj 1000 pkt obrażeń własnym jednostkom w grach sieciowych.
achievement_10520_title;Dyscyplinuj i karz
achievement_10521_desc;Wygraj rundę, zdobywając 100 punktów więcej niż przeciwnik w grze sieciowej.
achievement_10521_title;Masakra
achievement_10522_desc;Wygraj pierwszą rundę w partii sieciowej, pozbywszy się wszystkich kart z ręki.
achievement_10522_title;Kupą, mości panowie!
achievement_10523_desc;Wygraj grę sieciową po spasowaniu w pierwszej rundzie z 10 kartami w ręce.
achievement_10523_title;Ukryty plan
achievement_10524_desc;Wygraj grę sieciową po zużyciu wszystkich wymian kart w pierwszej rundzie.
achievement_10524_title;Zakłady stoją
achievement_10525_desc;Zniszcz 5 lub więcej jednostek wroga w 1 turze w grze sieciowej.
achievement_10525_title;Bezbłędna skuteczność
achievement_10526_desc;Dobierz całą talię i wygraj grę sieciową.
achievement_10526_title;Ani kropelka się nie zmarnuje
achievement_10527_desc;Zagraj 30 złotych kart w grach sieciowych.
achievement_10527_title;Jakość, nie ilość
achievement_10528_desc;Zagraj 100 kart premium w grach sieciowych.
achievement_10528_title;Na bogato
achievement_10529_desc;Wygraj grę bez zniszczenia ani jednej karty przeciwnika.
achievement_10529_title;Pokój ludziom dobrej woli
achievement_10530_desc;Wygraj ostatnią rundę z pustym polem bitwy po stronie przeciwnika w grze sieciowej.
achievement_10530_title;Unicestwienie
achievement_10531_desc;Wygraj partię talią o łącznym koszcie werbunku nie wyższym niż 100.
achievement_10531_title;Biedagwint
achievement_10533_desc;Nałóż co najmniej 5 statusów na 1 jednostkę w grze sieciowej.
achievement_10533_title;Zmiany, zmiany, zmiany
achievement_10534_desc;Wygraj grę sieciową w czasie poniżej 7 minut.
achievement_10534_title;Rachu-ciachu i do piachu!
achievement_10536_desc;Zagraj 1000 kart w grach sieciowych.
achievement_10536_title;Gramy w tysiąca
achievement_10537_desc;Zagraj 10 000 kart w grach sieciowych.
achievement_10537_title;Domek z kart
achievement_10538_desc;Zagraj 100 000 kart w grach sieciowych.
achievement_10538_title;Ciągłe przetasowania
achievement_10539_desc;Aktywuj 10 umiejętności zemsty w grach sieciowych.
achievement_10539_title;Uderz mnie!
achievement_10540_desc;Aktywuj 100 umiejętności zemsty w grach sieciowych.
achievement_10540_title;Nie oszczędzać nikogo
achievement_10541_desc;Aktywuj 1000 umiejętności zemsty w grach sieciowych.
achievement_10541_title;Godna ofiara
achievement_10542_desc;Potraktuj Pożogą jednostkę o sile 50 lub większej w grze sieciowej.
achievement_10542_title;Im większy cel, tym większa frajda.
achievement_10543_desc;Miej w ręce 0 kart na koniec każdej rundy i wygraj grę sieciową.
achievement_10543_title;Wszystkie chwyty dozwolone
achievement_10544_desc;Zagraj 10 jednostek ze swojego cmentarza w grach sieciowych.
achievement_10544_title;Nietypowe metody
achievement_10545_desc;Zagraj 100 jednostek ze swojego cmentarza w grach sieciowych.
achievement_10545_title;To tylko powierzchowna rana
achievement_10546_desc;Zagraj 1000 jednostek ze swojego cmentarza w grach sieciowych.
achievement_10546_title;Ktoś wołał lekarza?
achievement_10547_desc;Wygraj grę sieciową, w której siła jednej z twoich jednostek wynosi co najmniej 50.
achievement_10547_title;Paker
achievement_10548_desc;Przemień kartę w grze sieciowej.
achievement_10548_title;Metamorfoza
achievement_10549_desc;Zniszcz co najmniej 3 jednostki przy użyciu 1 karty i wygraj grę sieciową.
achievement_10549_title;Trójca
achievement_10550_desc;Zastąp jeden efekt rzędu innym efektem rzędu w grze sieciowej.
achievement_10550_title;Staw czoło żywiołom
achievement_10551_title;Miło cię poznać
achievement_10552_title;Będziesz mi pomagać?
achievement_10553_title;Towarzysze broni
achievement_10554_title;Pokrewne dusze
achievement_10555_title;Pierwsza krew
achievement_10556_title;Rzeź
achievement_10557_title;Rzeźnicka robota
achievement_10558_title;Kat
achievement_10559_title;Detoks
achievement_10560_title;Bez upiększeń
achievement_10561_title;Nierozcieńczone
achievement_10562_title;Purysta
achievement_10563_title;Pobudzenie
achievement_10564_title;Wściekłość
achievement_10565_title;Szaleństwo
achievement_10566_title;SZAAAŁ!
achievement_10567_title;Misjonarz
achievement_10568_title;Osadnik
achievement_10569_title;Kolonista
achievement_10570_title;Imperium
achievement_10571_title;Witaj, sąsiedzie!
achievement_10572_title;Różnice dają siłę
achievement_10573_title;Wspólnie walczymy
achievement_10574_title;Dziecko natury
achievement_10575_title;Tylko kropelka
achievement_10576_title;Krwawa plama
achievement_10577_title;Skąpany we krwi
achievement_10578_title;Krwawa powódź
achievement_10579_title;Puklerz
achievement_10580_title;Tarcza trójkątna
achievement_10581_title;Pawęż
achievement_10582_title;Pluteje
achievement_10583_title;Kropelka w napoju
achievement_10584_title;Jadowiciel
achievement_10585_title;Zabójczy posmak
achievement_10586_title;Pył iokanowy
achievement_10587_title;Zdatny do służby
achievement_10588_title;Słodkie życie
achievement_10589_title;Serce jak dzwon
achievement_10590_title;Wysoka żywotność
achievement_10591_title;Wrażliwy
achievement_10592_title;Bezradny
achievement_10593_title;Brutalna siła
achievement_10594_title;Łamacz tarcz
achievement_10595_desc;Zniszcz zatrutą jednostkę bez podawania jej dodatkowej trucizny.
achievement_10595_title;Niespokojny skrytobójca
achievement_10596_desc;Korzystając z umiejętności Syndykatu, wygraj partię bez użycia choćby jednej monety.
achievement_10596_title;Kabza pusta? Żaden problem!
achievement_10597_desc;Korzystając z umiejętności Syndykatu, wygraj partię, mając na jej koniec 9 monet.
achievement_10597_title;Suta kiesa
achievement_10598_desc;Korzystając z umiejętności Syndykatu, wygraj partię, nie mając na jej koniec choćby jednej monety.
achievement_10598_title;Do ostatniego centa
achievement_10599_title;Rozrzutnik
achievement_10600_title;Dusigrosz
achievement_10601_title;Kutwa
achievement_10602_title;Skąpiradło
achievement_10603_title;Sknera
achievement_10604_title;Drobniaki
achievement_10605_title;Ciężki mieszek
achievement_10606_title;Inwestor
achievement_10607_title;Dysponent kapitału
achievement_10608_title;Nowy członek
achievement_10609_title;Korzyści Syndykatu
achievement_10610_title;Oferta nie do odrzucenia
achievement_10611_title;Ostatnie wpłaty
achievement_10612_title;Skarbonka
achievement_10613_title;Kolekcjoner
achievement_10614_title;Magazynier
achievement_10615_title;Skarbiec
achievement_10620_title;Poszukiwany
achievement_10621_title;Naznaczony
achievement_10622_title;Śledzony
achievement_10623_title;Cel polowania
achievement_10624_title;Pierwsza wpłata
achievement_10625_title;Mała firemka
achievement_10626_title;Zamożność
achievement_10627_title;Bańka finansowa
achievement_10628_title;Zbir
achievement_10629_title;Silnoręki
achievement_10630_title;Egzekutor
achievement_10631_title;Mięśniak
achievement_10634_desc;Daj pancerz jednostkom 10 razy
achievement_10634_title;Coś na wzmocnienie
achievement_10635_desc;Daj pancerz jednostkom 100 razy
achievement_10635_title;Dieta bogata w żelazo
achievement_10636_desc;Daj pancerz jednostkom 500 razy
achievement_10636_title;Pancernik
achievement_10637_desc;Daj pancerz jednostkom 1000 razy
achievement_10637_title;Hartowana stal
achievement_10638_desc;Wykorzystaj barykadę 10 razy
achievement_10638_title;Barykada
achievement_10639_desc;Wykorzystaj barykadę 100 razy
achievement_10639_title;Posterunek
achievement_10640_desc;Wykorzystaj barykadę 500 razy
achievement_10640_title;Fort
achievement_10641_desc;Wykorzystaj barykadę 1000 razy
achievement_10641_title;Twierdza
achievement_10642_desc;Wykorzystaj wrażliwość jednostki 10 razy
achievement_10642_title;To tylko draśnięcie
achievement_10643_desc;Wykorzystaj wrażliwość jednostki 100 razy
achievement_10643_title;Jeno powierzchowna rana
achievement_10644_desc;Wykorzystaj wrażliwość jednostki 500 razy
achievement_10644_title;Jestem niepokonany!
achievement_10645_desc;Wykorzystaj wrażliwość jednostki 1000 razy
achievement_10645_title;Odgryzę ci nogi
achievement_10646_desc;Osiągnij 3 stopień ewoluujących kart z dodatku Pan Lusterko 5 razy
achievement_10646_title;Poziom 1: Drobny oszust
achievement_10647_desc;Osiągnij 3 stopień ewoluujących kart z dodatku Pan Lusterko 50 razy
achievement_10647_title;Poziom 10: Szachraj
achievement_10648_desc;Osiągnij 3 stopień ewoluujących kart z dodatku Pan Lusterko 250 razy
achievement_10648_title;Poziom 30: Szefo
achievement_10649_desc;Osiągnij 3 stopień ewoluujących kart z dodatku Pan Lusterko 500 razy
achievement_10649_title;Poziom 100: Ojciec chrzestny
achievement_10650_desc;Zadaj obrażenia Mrozem 25 razy
achievement_10650_title;Z dreszczykiem
achievement_10651_desc;Zadaj obrażenia Mrozem 250 razy
achievement_10651_title;Zimny trup
achievement_10652_desc;Zadaj obrażenia Mrozem 1250 razy
achievement_10652_title;Okruch lodu
achievement_10653_desc;Zadaj obrażenia Mrozem 2500 razy
achievement_10653_title;Królowa Zimy
achievement_10654_desc;Aktywuj Spisek 10 razy
achievement_10654_title;To tylko teoria spiskowa!
achievement_10655_desc;Aktywuj Spisek 100 razy
achievement_10655_title;Płaska Ziemia
achievement_10656_desc;Aktywuj Spisek 500 razy
achievement_10656_title;Człowiek w Czerni
achievement_10657_desc;Aktywuj Spisek 1000 razy
achievement_10657_title;Nowy Wspaniały Świat
achievement_10658_desc;Stwórz 10 Wędrujących Drzewców
achievement_10658_title;Zielono mi!
achievement_10659_desc;Stwórz 100 Wędrujących Drzewców
achievement_10659_title;Dziecię Natury
achievement_10660_desc;Stwórz 500 Wędrujących Drzewców
achievement_10660_title;Morze Zieleni
achievement_10661_desc;Stwórz 1000 Wędrujących Drzewców
achievement_10661_title;Ostatni Marsz Drzewców
achievement_10662_desc;Stwórz 10 Ochotników
achievement_10662_title;Oddział
achievement_10663_desc;Stwórz 100 Ochotników
achievement_10663_title;Kompania
achievement_10664_desc;Stwórz 500 Ochotników
achievement_10664_title;Batalion
achievement_10665_desc;Stwórz 1000 Ochotników
achievement_10665_title;Brygada
achievement_10666_desc;Stwórz 10 Szeregowych Płonącej Róży
achievement_10666_title;Szeregowy Płonącej Róży
achievement_10667_desc;Stwórz 100 Szeregowych Płonącej Róży
achievement_10667_title;Rycerz Płonącej Róży
achievement_10668_desc;Stwórz 500 Szeregowych Płonącej Róży
achievement_10668_title;Marszałek Płonącej Róży
achievement_10669_desc;Stwórz 1000 Szeregowych Płonącej Róży
achievement_10669_title;Wielki Mistrz Płonącej Róży
achievement_10670_desc;Aktywuj umiejętność Weterana 10 razy
achievement_10670_title;Jeniec wojenny
achievement_10671_desc;Aktywuj umiejętność Weterana 100 razy
achievement_10671_title;Wolny człowiek
achievement_10672_desc;Aktywuj umiejętność Weterana 500 razy
achievement_10672_title;Berserker
achievement_10673_desc;Aktywuj umiejętność Weterana 1000 razy
achievement_10673_title;Jarl
achievement_10674_desc;Zagraj 10 Wiedźminów
achievement_10674_title;Porwany
achievement_10675_desc;Zagraj 100 Wiedźminów
achievement_10675_title;Próba Traw
achievement_10676_desc;Zagraj 500 Wiedźminów
achievement_10676_title;Brutalna nauka walki wręcz
achievement_10677_desc;Zagraj 1000 Wiedźminów
achievement_10677_title;Wojowniczy Wiedźmini Ninja
achievement_10678_desc;Aktywuj słowo kluczowe adrenalina 10 razy
achievement_10678_title;Przypływ adrenaliny
achievement_10679_desc;Aktywuj słowo kluczowe adrenalina 100 razy
achievement_10679_title;Uzależniony od adrenaliny
achievement_10680_desc;Aktywuj słowo kluczowe adrenalina 500 razy
achievement_10680_title;Fanatyk adrenaliny
achievement_10681_desc;Aktywuj słowo kluczowe adrenalina 1000 razy
achievement_10681_title;Muszę wyluzować
achievement_10682_desc;Aktywuj słowo kluczowe sabat 10 razy
achievement_10682_title;Paranoja
