_inputshopbuymultiple;COMPRAR
122105_default_deck;Baraja de Sigismund Dijkstra
131101_default_deck;Baraja de Eredin
132103_default_deck;Baraja del Espíritu del bosque
200055_default_deck;Baraja del Anciano Oculto
200158_default_deck;Baraja de Dagón
200159_default_deck;Baraja de Bran
200160_default_deck;Baraja de Crach
200161_default_deck;Baraja de Harald
200162_default_deck;Baraja de Emhyr
200163_default_deck;Baraja de Voorhis
200164_default_deck;Baraja de Calveit
200165_default_deck;Baraja de Francesca
200166_default_deck;Baraja de Eithné
200167_default_deck;Baraja de Brouver
200168_default_deck;Baraja de Foltest
200169_default_deck;Baraja de Radovid
200170_default_deck;Baraja de Henselt
201580_default_deck;Baraja del Usurpador
201587_default_deck;Baraja de la Loma de los Susurros
201589_default_deck;Baraja de Filavandrel
201595_default_deck;Baraja de Adda
201597_default_deck;Baraja de Eist
201743_default_deck;Baraja de Arachas reina
202115_default_deck;Baraja de Eldain
202116_default_deck;Baraja de Meve
202117_default_deck;Baraja de Gernichora
202118_default_deck;Baraja de Ardal aep Dahy
202119_default_deck;Baraja de Arnjolf el Parricida
202148_default_deck;Baraja de Demavend
202185_default_deck;Baraja de Dettlaff
202186_default_deck;Baraja de Anna
202187_default_deck;Baraja de Calanthe
202188_default_deck;Baraja de Dana
202189_default_deck;Baraja de Svalblod
202303_default_deck;Baraja de Bastardo Hijo
202328_default_deck;Baraja del Rey de los Mendigos
202347_default_deck;Baraja de Cyrus Hemmelfart
202373_default_deck;Baraja de Gudrun Bjornsdottir
202390_default_deck;Baraja de Sacabuche
38512;N/A
6100_title;Borde de Oveja
accept_eula_button;He leído y acepto el Acuerdo de usuario de GWENT
accept_invite_fail_message_description;No se ha podido aceptar la invitación
accept_invite_fail_message_title;Error de invitación
accept_invite_fail_session_full;No puedes unirte porque la sesión ya está llena.
achievement_10001_desc;Completa el tutorial.
achievement_10001_title;Conceptos básicos dominados
achievement_10002_desc;Gasta un punto de recompensa.
achievement_10002_title;Empeño gratificante
achievement_10003_desc;Desbloquea cualquier ornamento de líder en el libro de recompensas.
achievement_10003_title;¡Qué bonito!
achievement_10100_desc;Gasta 100 restos.
achievement_10100_title;Primero de creación
achievement_10101_desc;Gasta 1000 restos.
achievement_10101_title;No tengo bastante
achievement_10102_desc;Gasta 10 000 restos.
achievement_10102_title;De misión
achievement_10103_desc;Gasta 20 000 restos.
achievement_10103_title;No hay quien me pare
achievement_10104_desc;Gasta 50 000 restos.
achievement_10104_title;Voy a crearlas todas
achievement_10200_desc;Gasta 100 minerales.
achievement_10200_title;Oh, mira, un barril
achievement_10201_desc;Gasta 1000 minerales.
achievement_10201_title;¡Oh, Gwent mío!
achievement_10202_desc;Gasta 10 000 minerales.
achievement_10202_title;Cienes y cienes
achievement_10203_desc;Gasta 20 000 minerales.
achievement_10203_title;Manirrotura
achievement_10204_desc;Gasta 50 000 minerales.
achievement_10204_title;Asquerosamente rico
achievement_10300_desc;Gasta 100 de polvo de meteorito.
achievement_10300_title;¡Ooooh, brilla!
achievement_10301_desc;Gasta 1000 de polvo de meteorito.
achievement_10301_title;Belleza brutal
achievement_10302_desc;Gasta 5000 de polvo de meteorito.
achievement_10302_title;A la moda
achievement_10303_desc;Gasta 10 000 de polvo de meteorito.
achievement_10303_title;Simplemente exquisito
achievement_10304_desc;Gasta 20 000 de polvo de meteorito.
achievement_10304_title;Persiguiendo el arcoíris
achievement_10400_desc;Gasta 10 puntos de recompensa.
achievement_10400_title;Marcas de tinta
achievement_10401_desc;Gasta 50 puntos de recompensa.
achievement_10401_title;Rastro de migas de pan
achievement_10402_desc;Gasta 100 puntos de recompensa.
achievement_10402_title;La interconexión del todo
achievement_10403_desc;Gasta 500 puntos de recompensa.
achievement_10403_title;Ecologista
achievement_10404_desc;Gasta 1000 puntos de recompensa.
achievement_10404_title;Conecta los puntos
achievement_10501_desc;Revela 10 cartas durante partidas en línea.
achievement_10501_title;Cucú
achievement_10502_desc;Revela 100 cartas durante partidas en línea.
achievement_10502_title;Desenmascarado
achievement_10503_desc;Revela 500 cartas durante partidas en línea.
achievement_10503_title;No hay donde esconderse
achievement_10504_desc;Revela 1000 cartas durante partidas en línea.
achievement_10504_title;El ojo que todo lo ve
achievement_10505_desc;Da una orden a 10 unidades durante partidas en línea.
achievement_10505_title;Formación cerrada
achievement_10506_desc;Da una orden a 100 unidades durante partidas en línea.
achievement_10506_title;¡Izquierda, derecha, izquierda!
achievement_10507_desc;Da una orden a 500 unidades durante partidas en línea.
achievement_10507_title;Obediencia ciega
achievement_10508_desc;Da una orden a 1000 unidades durante partidas en línea.
achievement_10508_title;Obedece al líder
achievement_10509_desc;Destruye 10 unidades no humanas durante partidas en línea.
achievement_10509_title;Miedos y temblores
achievement_10510_desc;Destruye 100 unidades no humanas durante partidas en línea.
achievement_10510_title;¿Unas últimas palabras?
achievement_10511_desc;Destruye 1000 unidades no humanas durante partidas en línea.
achievement_10511_title;Humanista
achievement_10512_desc;Controla 10 unidades con 10 de poder al mismo tiempo durante una partida en línea.
achievement_10512_title;10 de 10
achievement_10513_desc;Llena tu lado del tablero con unidades y/o artefactos.
achievement_10513_title;No cabe un alfiler
achievement_10514_desc;Usa al menos 1 reacción en 10 partidas en línea diferentes.
achievement_10514_title;Acércate
achievement_10515_desc;Usa al menos 1 reacción en 100 partidas en línea diferentes.
achievement_10515_title;¿Eso es todo lo que sabes hacer?
achievement_10516_desc;Usa al menos 1 reacción en 1000 partidas en línea diferentes.
achievement_10516_title;¡Oye mi rugido!
achievement_10517_desc;Consigue más de 30 puntos en un solo turno durante una partida en línea.
achievement_10517_title;Hora del baile
achievement_10518_desc;Inflige 10 de daño a tus propias unidades durante partidas en línea.
achievement_10518_title;No te va a doler
achievement_10519_desc;Inflige 100 de daño a tus propias unidades durante partidas en línea.
achievement_10519_title;Sin esfuerzo no hay recompensa
achievement_10520_desc;Inflige 1000 de daño a tus propias unidades durante partidas en línea.
achievement_10520_title;Disciplina y castigo
achievement_10521_desc;Gana una ronda sumando 100 puntos más que tu rival en una partida en línea.
achievement_10521_title;Fuerza excesiva
achievement_10522_desc;Gana la primera ronda en una partida en línea sin que te queden cartas en la mano.
achievement_10522_title;¡Voy con todo!
achievement_10523_desc;Gana una partida en línea después de pasar en la primera ronda con 10 cartas en la mano.
achievement_10523_title;Plan oculto
achievement_10524_desc;Gana una partida en línea después de usar todos tus cambios en la primera ronda.
achievement_10524_title;Todo o nada
achievement_10525_desc;Destruye 5 o más unidades enemigas en un turno durante una partida en línea.
achievement_10525_title;Ejecución sumaria
achievement_10526_desc;Saca toda tu baraja y gana una partida en línea.
achievement_10526_title;No se desperdicia ni una gota
achievement_10527_desc;Juega 30 cartas de oro durante partidas en línea.
achievement_10527_title;Mejor la calidad que la cantidad
achievement_10528_desc;Juega 100 cartas premium durante partidas en línea.
achievement_10528_title;Estilo puro
achievement_10529_desc;Gana una partida sin destruir ninguna carta de tu rival.
achievement_10529_title;Paz para todos
achievement_10530_desc;Gana la última ronda sin que haya ninguna carta en el lado del tablero de tu rival durante una partida en línea.
achievement_10530_title;Aniquilación
achievement_10531_desc;Gana una partida usando una baraja que tenga 100 de coste de reclutamiento o menos.
achievement_10531_title;El Gwent del pobre
achievement_10533_desc;Ten al menos 5 estados en una sola unidad durante una partida en línea.
achievement_10533_title;Todo cambia
achievement_10534_desc;Gana una partida en línea en menos de 7 minutos.
achievement_10534_title;¡Pim, pam, pum!
achievement_10536_desc;Juega 1000 cartas en partidas en línea.
achievement_10536_title;Primer milenio
achievement_10537_desc;Juega 10 000 cartas en partidas en línea.
achievement_10537_title;Fuera de carta
achievement_10538_desc;Juega 100 000 cartas en partidas en línea.
achievement_10538_title;Todo el día dándole a las cartas
achievement_10539_desc;Activa 10 habilidades de sueño mortal en partidas en línea.
achievement_10539_title;¡Golpéame!
achievement_10540_desc;Activa 100 habilidades de sueño mortal en partidas en línea.
achievement_10540_title;Sin perdón
achievement_10541_desc;Activa 1000 habilidades de sueño mortal en partidas en línea.
achievement_10541_title;Sacrificio honorable
achievement_10542_desc;Usa Conflagración sobre una unidad con al menos 50 de poder en una partida en línea.
achievement_10542_title;Cuanto más grande...
