_inputshopbuymultiple;KAUFEN
122105_default_deck;Sigismund Dijkstras Deck
131101_default_deck;Eredins Deck
132103_default_deck;Deck des Waldgeists
200055_default_deck;Deck des Unsichtbaren
200158_default_deck;Dagons Deck
200159_default_deck;Brans Deck
200160_default_deck;Crachs Deck
200161_default_deck;Haralds Deck
200162_default_deck;Emhyrs Deck
200163_default_deck;Voorhis' Deck
200164_default_deck;Calveits Deck
200165_default_deck;Francescas Deck
200166_default_deck;Eithnés Deck
200167_default_deck;Brouvers Deck
200168_default_deck;Foltests Deck
200169_default_deck;Radovids Deck
200170_default_deck;Henselts Deck
201580_default_deck;Deck des Usurpators
201587_default_deck;Deck des Flüsterhügels
201589_default_deck;Filavandrels Deck
201595_default_deck;Addas Deck
201597_default_deck;Eists Deck
201743_default_deck;Deck der Krabbspinnenkönigin
202115_default_deck;Eldains Deck
202116_default_deck;Meves Deck
202117_default_deck;Gernichoras Deck
202118_default_deck;Ardal aep Dahys Deck
202119_default_deck;Arnjolf Vatermörders Deck
202148_default_deck;Demawends Deck
202185_default_deck;Dettlaffs Deck
202186_default_deck;Annas Deck
202187_default_deck;Calanthes Deck
202188_default_deck;Danas Deck
202189_default_deck;Svalblods Deck
202303_default_deck;Hurensohn Juniors Deck
202328_default_deck;Bettlerkönigs Deck
202347_default_deck;Cyrus Hemmelfarts Deck
202373_default_deck;Gudrun Bjornsdottirs Deck
202390_default_deck;Hackers Deck
38512;N/A
6100_title;Schaf – Rahmen
accept_eula_button;Ich habe die GWENT-Nutzervereinbarung gelesen und akzeptiert
accept_invite_fail_message_description;Einladung konnte nicht angenommen werden.
accept_invite_fail_message_title;Einladungsfehler
accept_invite_fail_session_full;Beitritt zur Sitzung fehlgeschlagen. Sitzung ist bereits voll.
achievement_10001_desc;Schließe das Tutorial ab.
achievement_10001_title;Meister der Grundlagen
achievement_10002_desc;Gib einen Belohnungspunkt aus.
achievement_10002_title;Lohnendes Unterfangen
achievement_10003_desc;Schalte im Belohnungsbuch einen Anführer-Gegenstand frei.
achievement_10003_title;Schick!
achievement_10100_desc;Gib 100 Scraps aus.
achievement_10100_title;Anfänge des Handwerks
achievement_10101_desc;Gib 1.000 Scraps aus.
achievement_10101_title;Es ist nie genug
achievement_10102_desc;Gib 10.000 Scraps aus.
achievement_10102_title;Auf Mission
achievement_10103_desc;Gib 20.000 Scraps aus.
achievement_10103_title;Metaveränderer
achievement_10104_desc;Gib 50.000 Scraps aus.
achievement_10104_title;Im Herstellwahn
achievement_10200_desc;Gib 100 Erz aus.
achievement_10200_title;Schau mal, ein Fass
achievement_10201_desc;Gib 1.000 Erz aus.
achievement_10201_title;Oh, mein Gwent!
achievement_10202_desc;Gib 10.000 Erz aus.
achievement_10202_title;Hundert mal hundert
achievement_10203_desc;Gib 20.000 Erz aus.
achievement_10203_title;Verschwendung
achievement_10204_desc;Gib 50.000 Erz aus.
achievement_10204_title;Stinkreich
achievement_10300_desc;Gib 100 Meteoritenstaub aus.
achievement_10300_title;Wie das glänzt!
achievement_10301_desc;Gib 1.000 Meteoritenstaub aus.
achievement_10301_title;Schön ist das neue Krass
achievement_10302_desc;Gib 5.000 Meteoritenstaub aus.
achievement_10302_title;Modebewusst
achievement_10303_desc;Gib 10.000 Meteoritenstaub aus.
achievement_10303_title;Einfach exquisit!
achievement_10304_desc;Gib 20.000 Meteoritenstaub aus.
achievement_10304_title;Regenbogenjagd
achievement_10400_desc;Gib 10 Belohnungspunkte aus.
achievement_10400_title;Tintenspuren
achievement_10401_desc;Gib 50 Belohnungspunkte aus.
achievement_10401_title;Brotkrumenspur
achievement_10402_desc;Gib 100 Belohnungspunkte aus.
achievement_10402_title;Alles ist verbunden
achievement_10403_desc;Gib 500 Belohnungspunkte aus.
achievement_10403_title;Baumumarmer
achievement_10404_desc;Gib 1.000 Belohnungspunkte aus.
achievement_10404_title;Verbinde die Punkte
achievement_10501_desc;Enthülle 10 Karten bei Onlinespielen.
achievement_10501_title;Buh!
achievement_10502_desc;Enthülle 100 Karten bei Onlinespielen.
achievement_10502_title;Unmaskiert
achievement_10503_desc;Enthülle 500 Karten bei Onlinespielen.
achievement_10503_title;Kein Versteck
achievement_10504_desc;Enthülle 1.000 Karten bei Onlinespielen.
achievement_10504_title;Allsichtiges Auge
achievement_10505_desc;Befehlige 10 Einheiten bei Onlinespielen.
achievement_10505_title;Dichte Formation
achievement_10506_desc;Befehlige 100 Einheiten bei Onlinespielen.
achievement_10506_title;Links, zwo, drei, vier!
achievement_10507_desc;Befehlige 500 Einheiten bei Onlinespielen.
achievement_10507_title;Blinder Gehorsam
achievement_10508_desc;Befehlige 1.000 Einheiten bei Onlinespielen.
achievement_10508_title;Folgt dem Anführer
achievement_10509_desc;Zerstöre 10 Anderling-Einheiten bei Onlinespielen.
achievement_10509_title;Furcht und Gezitter
achievement_10510_desc;Zerstöre 100 Anderling-Einheiten bei Onlinespielen.
achievement_10510_title;Irgendwelche letzten Worte?
achievement_10511_desc;Zerstöre 1.000 Anderling-Einheiten bei Onlinespielen.
achievement_10511_title;Humanist
achievement_10512_desc;Kontrolliere 10 Einheiten mit 10 Stärke zugleich bei einem Onlinespiel.
achievement_10512_title;10. Okt
achievement_10513_desc;Fülle deine gesamte Bretthälfte mit Einheiten und/oder Artefakten.
achievement_10513_title;Ganz schön voll hier
achievement_10514_desc;Setze mindestens 1 Verspottung in 10 verschiedenen Onlinespielen ein.
achievement_10514_title;Komm schon
achievement_10515_desc;Setze mindestens 1 Verspottung in 100 verschiedenen Onlinespielen ein.
achievement_10515_title;Ist das alles?
achievement_10516_desc;Setze mindestens 1 Verspottung in 1.000 verschiedenen Onlinespielen ein.
achievement_10516_title;Hör mein BRÜLLEN!
achievement_10517_desc;Erziele bei einem Onlinespiel mehr als 30 Punkte in einem einzigen Zug.
achievement_10517_title;Schaukelzeit
achievement_10518_desc;Füge bei Onlinespielen deinen eigenen Einheiten 10 Schaden zu.
achievement_10518_title;Wird gar nicht wehtun
achievement_10519_desc;Füge bei Onlinespielen deinen eigenen Einheiten 100 Schaden zu.
achievement_10519_title;Ohne Fleiß kein Preis
achievement_10520_desc;Füge bei Onlinespielen deinen eigenen Einheiten 1.000 Schaden zu.
achievement_10520_title;Strafe und Disziplin
achievement_10521_desc;Gewinne bei einem Onlinespiel eine Runde, indem du 100 Punkte mehr als dein Gegner erzielst.
achievement_10521_title;Zuviel des Guten
achievement_10522_desc;Beende und gewinne bei einem Onlinespiel die erste Runde ohne Karten auf der Hand.
achievement_10522_title;Aufs Ganze gehen!
achievement_10523_desc;Gewinne ein Onlinespiel, nachdem du in der ersten Runde gepasst hast, mit 10 Karten auf der Hand.
achievement_10523_title;Verborgener Plan
