_inputshopbuymultiple;购买
122105_default_deck;迪杰斯特拉牌组
131101_default_deck;艾瑞汀牌组
132103_default_deck;林妖牌组
200055_default_deck;暗影长者牌组
200158_default_deck;达冈牌组
200159_default_deck;布兰王牌组
200160_default_deck;克拉茨牌组
200161_default_deck;哈罗德牌组
200162_default_deck;恩希尔牌组
200163_default_deck;莫尔凡牌组
200164_default_deck;卡尔维特牌组
200165_default_deck;法兰茜丝卡牌组
200166_default_deck;艾思娜牌组
200167_default_deck;布罗瓦尔牌组
200168_default_deck;弗尔泰斯特牌组
200169_default_deck;拉多维德牌组
200170_default_deck;亨赛特牌组
201580_default_deck;夺权者牌组
201587_default_deck;呢喃山丘牌组
201589_default_deck;菲拉凡德芮牌组
201595_default_deck;雅妲牌组
201597_default_deck;埃斯特牌组
201743_default_deck;蟹蜘蛛女王牌组
202115_default_deck;艾尔丹恩牌组
202116_default_deck;米薇牌组
202117_default_deck;格尼阔拉牌组
202118_default_deck;阿达尔·爱普·达西牌组
202119_default_deck;背亲者恩约夫牌组
202148_default_deck;德马维牌组
202185_default_deck;狄拉夫牌组
202186_default_deck;安娜牌组
202187_default_deck;卡兰瑟牌组
202188_default_deck;达娜梅碧牌组
202189_default_deck;斯瓦勃洛牌组
202303_default_deck;霍桑二世牌组
202328_default_deck;乞丐王牌组
202347_default_deck;赛勒斯·赫姆法特牌组
202373_default_deck;古德伦·约斯多蒂尔牌组
202390_default_deck;“砍刀”牌组
38512;N/A
6100_title;边框：绵羊
accept_eula_button;我已阅读并接受此协议
accept_invite_fail_message_description;无法接受邀请
accept_invite_fail_message_title;邀请错误
accept_invite_fail_session_full;邀请已满，无法加入。
achievement_10001_desc;完成教程。
achievement_10001_title;掌握初心
achievement_10002_desc;花费 1 点奖励点数。
achievement_10002_title;奖有应得
achievement_10003_desc;在奖励册中解锁任意领袖的装饰物品。
achievement_10003_title;美！
achievement_10100_desc;花费碎片 x 100。
achievement_10100_title;合成入门
achievement_10101_desc;花费碎片 x 1000。
achievement_10101_title;入坑的开始
achievement_10102_desc;花费碎片 x 10000。
achievement_10102_title;任务在身
achievement_10103_desc;花费碎片 x 20000。
achievement_10103_title;骗布狂魔
achievement_10104_desc;花费碎片 x 50000。
achievement_10104_title;一张也不能少
achievement_10200_desc;花费矿石 x 100。
achievement_10200_title;一百换一桶
achievement_10201_desc;花费矿石 x 1000。
achievement_10201_title;我的昆啊！
achievement_10202_desc;花费矿石 x 10000。
achievement_10202_title;100 x 100
achievement_10203_desc;花费矿石 x 20000。
achievement_10203_title;“败家子”
achievement_10204_desc;花费矿石 x 50000。
achievement_10204_title;家里有矿
achievement_10300_desc;花费星尘 x 100。
achievement_10300_title;天上星，亮晶晶！
achievement_10301_desc;花费星尘 x 1000。
achievement_10301_title;幻化几张怎么了！
achievement_10302_desc;花费星尘 x 5000。
achievement_10302_title;时尚时尚最时尚
achievement_10303_desc;花费星尘 x 10000。
achievement_10303_title;简单的奢华！
achievement_10304_desc;花费星尘 x 20000。
achievement_10304_title;雨过天青云破处
achievement_10400_desc;花费 10 点奖励点数。
achievement_10400_title;青青树苗
achievement_10401_desc;花费 50 点奖励点数。
achievement_10401_title;添枝加叶
achievement_10402_desc;花费 100 点奖励点数。
achievement_10402_title;盘根错节
achievement_10403_desc;花费 500 点奖励点数。
achievement_10403_title;十年树木
achievement_10404_desc;花费 1000 点奖励点数。
achievement_10404_title;枝繁叶茂
achievement_10501_desc;在在线对局中，揭示 10 张牌。
achievement_10501_title;躲猫猫
achievement_10502_desc;在在线对局中，揭示 100 张牌。
achievement_10502_title;开牌见我
achievement_10503_desc;在在线对局中，揭示 500 张牌。
achievement_10503_title;无处可躲
achievement_10504_desc;在在线对局中，揭示 1000 张牌。
achievement_10504_title;全知之眼
achievement_10505_desc;在在线对局中，对单位使用“指令” 10 次。
achievement_10505_title;队形紧凑
achievement_10506_desc;在在线对局中，对单位使用“指令” 100 次。
achievement_10506_title;稍息、立正、正步走！
achievement_10507_desc;在在线对局中，对单位使用“指令” 500 次。
achievement_10507_title;盲从之军
achievement_10508_desc;在在线对局中，对单位使用“指令” 1000 次。
achievement_10508_title;听我号令
achievement_10509_desc;在在线对局中，摧毁 10 个非人种族单位。
achievement_10509_title;恐惧与颤栗
achievement_10510_desc;在在线对局中，摧毁 100 个非人种族单位。
achievement_10510_title;有遗言吗？
achievement_10511_desc;在在线对局中，摧毁 1000 个非人种族单位。
achievement_10511_title;“人道主义者”
achievement_10512_desc;在一场在线对局中，同时控制 10 个 10 点战力的单位。
achievement_10512_title;10/10
achievement_10513_desc;用单位或神器铺满己方半场。
achievement_10513_title;接踵摩肩
achievement_10514_desc;在 10 场不同的在线对局中，每场使用至少 1 次嘲讽。
achievement_10514_title;“打得不错”
achievement_10515_desc;在 100 场不同的在线对局中，每场使用至少 1 次嘲讽。
achievement_10515_title;“水平不行啊”
achievement_10516_desc;在 1000 场不同的在线对局中，每场使用至少 1 次嘲讽。
achievement_10516_title;聆听我的咆哮！
achievement_10517_desc;在一场在线对局中，单回合内获得超过 30 点战力。
achievement_10517_title;秀给你看
achievement_10518_desc;在在线对局中，对己方单位造成10 点伤害。
achievement_10518_title;挠痒痒
achievement_10519_desc;在在线对局中，对己方单位造成100 点伤害。
achievement_10519_title;打是亲，骂是爱……
achievement_10520_desc;在在线对局中，对己方单位造成1000 点伤害。
achievement_10520_title;纪律与惩戒
achievement_10521_desc;在一场在线对局中，以超过对手 100 点战力赢下一小局。
achievement_10521_title;碾压
achievement_10522_desc;在一场在线对局中，打空手牌并赢得第一小局。
achievement_10522_title;梭哈！
achievement_10523_desc;在一场在线对局中，有 10 张手牌时空过第一小局，并最终获胜。
achievement_10523_title;计划通
achievement_10524_desc;在一场在线对局中，在第一小局使用所有调度次数并最终获胜。
achievement_10524_title;志在必得
achievement_10525_desc;在一场在线对局中，一回合内摧毁至少 5 个 敌军单位。
achievement_10525_title;完美终结
achievement_10526_desc;在一场在线对局中，抽光己方整套牌组并获胜。
achievement_10526_title;物尽其用
achievement_10527_desc;在在线对局中，打出 30 张金色牌。
achievement_10527_title;重质不重量
achievement_10528_desc;在在线对局中打出 100 张闪卡。
achievement_10528_title;帅是一辈子的事
achievement_10529_desc;不摧毁对手任何卡牌并赢得一局。
achievement_10529_title;世界充满爱
achievement_10530_desc;在一场在线对局中，在对方半场没有单位的情况下赢得最后一小局
achievement_10530_title;清扫干净
achievement_10531_desc;使用一套人口数不高于 100 点的牌组赢得 1 场对局。
achievement_10531_title;环保牌组
achievement_10533_desc;在一场在线对局中，使 1 个单位至少获得 5 种状态。
achievement_10533_title;变形记
achievement_10534_desc;在 7 分钟内赢得一场在线对局。
achievement_10534_title;123…我好了！
achievement_10536_desc;在在线对局中，打出 1000 张牌。
achievement_10536_title;千纸牌
achievement_10537_desc;在在线对局中，打出 10000 张牌。
achievement_10537_title;纸牌屋
achievement_10538_desc;在在线对局中，打出 100000 张牌。
achievement_10538_title;昆特荷官，在线发牌
achievement_10539_desc;在在线对局中，触发 10 次遗愿。
achievement_10539_title;向我开炮！
achievement_10540_desc;在在线对局中，触发 100 次遗愿。
achievement_10540_title;一个不留
achievement_10541_desc;在在线对局中，触发 1000 次遗愿。
achievement_10541_title;死得其所
achievement_10542_desc;在一场在线对局中，用烧灼摧毁一个战力不低于 50 点的单位。
achievement_10542_title;啊，美丽的灼烧
achievement_10543_desc;在一场在线对局中，每小局都打空手牌，并最终获胜。
achievement_10543_title;毫无保留
achievement_10544_desc;在在线对局中，从己方墓场复活 10 个单位。
achievement_10544_title;民间偏方
achievement_10545_desc;在在线对局中，从己方墓场复活 100 个单位。
achievement_10545_title;轻伤而已
