_inputshopbuymultiple;КУПИТЬ
122105_default_deck;Колода Дийкстры
131101_default_deck;Колода Эредина
132103_default_deck;Колода Духа Леса
200055_default_deck;Колода Скрытого
200158_default_deck;Колода Дагона
200159_default_deck;Колода Брана
200160_default_deck;Колода Краха
200161_default_deck;Колода Харальда
200162_default_deck;Колода Эмгыра
200163_default_deck;Колода Воорхиса
200164_default_deck;Колода Кальвейта
200165_default_deck;Колода Францески
200166_default_deck;Колода Эитнэ
200167_default_deck;Колода Брувера
200168_default_deck;Колода Фольтеста
200169_default_deck;Колода Радовида
200170_default_deck;Колода Хенсельта
201580_default_deck;Колода Узурпатора
201587_default_deck;Колода Шепчущего холма
201589_default_deck;Колода Филавандреля
201595_default_deck;Колода Адды
201597_default_deck;Колода Эйста
201743_default_deck;Колода Королевы главоглазов
202115_default_deck;Колода Эльдайна
202116_default_deck;Колода Мэвы
202117_default_deck;Колода Гернихоры
202118_default_deck;Колода Ардаля
202119_default_deck;Колода Арнйольфа
202148_default_deck;Колода Демавенда
202185_default_deck;Колода Детлаффа
202186_default_deck;Колода Анны-Генриетты
202187_default_deck;Колода Калантэ
202188_default_deck;Колода Даны
202189_default_deck;Колода Свальблода
202303_default_deck;Колода Ублюдка Младшего
202328_default_deck;Колода Короля Нищих
202347_default_deck;Колода Хеммельфарта
202373_default_deck;Колода Гудрун
202390_default_deck;Колода Тесака
38512;N/A
6100_title;Овечка (рамка)
accept_eula_button;Да, я соглашаюсь с условиями Пользовательского соглашения ГВИНТА, прочитав документ
accept_invite_fail_message_description;Не удалось принять приглашение
accept_invite_fail_message_title;Проблема с приглашением
accept_invite_fail_session_full;Не удалось присоединиться, так как нет свободных мест.
achievement_10001_desc;Пройти обучение.
achievement_10001_title;Первые шаги
achievement_10002_desc;Потратить очко награды.
achievement_10002_title;Награда нашла героя
achievement_10003_desc;Разблокировать любое украшение лидера в книге наград.
achievement_10003_title;Красотища!
achievement_10100_desc;Потратить 100 обрывков.
achievement_10100_title;Очумелые ручки
achievement_10101_desc;Потратить 1000 обрывков.
achievement_10101_title;Нужно больше карт
achievement_10102_desc;Потратить 10 000 обрывков.
achievement_10102_title;Я знаю, что делаю
achievement_10103_desc;Потратить 20 000 обрывков.
achievement_10103_title;В активном поиске
achievement_10104_desc;Потратить 50 000 обрывков.
achievement_10104_title;Аппликации — моя страсть
achievement_10200_desc;Потратить 100 единиц руды.
achievement_10200_title;О, бочка
achievement_10201_desc;Потратить 1000 единиц руды.
achievement_10201_title;Ничего не жалко
achievement_10202_desc;Потратить 10 000 единиц руды.
achievement_10202_title;Горных дел мастер
achievement_10203_desc;Потратить 20 000 единиц руды.
