_inputshopbuymultiple;ACHETER
122105_default_deck;Jeu de Sigismund Dijkstra
131101_default_deck;Jeu d'Eredin
132103_default_deck;Jeu de l'Esprit de la forêt
200055_default_deck;Jeu du Doyen des Invisibles
200158_default_deck;Jeu de Dagon
200159_default_deck;Jeu de Bran
200160_default_deck;Jeu de Crach
200161_default_deck;Jeu d'Harald
200162_default_deck;Jeu d'Emhyr
200163_default_deck;Jeu de Voorhis
200164_default_deck;Jeu de Calveit
200165_default_deck;Jeu de Francesca
200166_default_deck;Jeu d'Eithné
200167_default_deck;Jeu de Brouver
200168_default_deck;Jeu de Foltest
200169_default_deck;Jeu de Radovid
200170_default_deck;Jeu d'Henselt
201580_default_deck;Jeu de l'Usurpateur
201587_default_deck;Jeu de la Colline dolente
201589_default_deck;Jeu de Filavandrel
201595_default_deck;Jeu d'Adda
201597_default_deck;Jeu d'Eist
201743_default_deck;Jeu de la Reine des arachas
202115_default_deck;Jeu d'Eldain
202116_default_deck;Jeu de Meve
202117_default_deck;Jeu de Gernichora
202118_default_deck;Jeu d'Ardal aep Dahy
202119_default_deck;Jeu d'Arnjolf le Parricide
202148_default_deck;Jeu de Demavend
202185_default_deck;Jeu de Dettlaff
202186_default_deck;Jeu d'Anna
202187_default_deck;Jeu de Calanthe
202188_default_deck;Jeu de Dana
202189_default_deck;Jeu de Svalblod
202303_default_deck;Jeu du Petit Bâtard
202328_default_deck;Jeu du Roi des mendiants
202347_default_deck;Jeu de Cyrus Hemmelfart
202373_default_deck;Jeu de Gudrun Bjornsdottir
202390_default_deck;Jeu de Surin
38512;N/A
6100_title;Bordure de mouton
accept_eula_button;J'ai lu et j'accepte le Contrat de licence utilisateur
accept_invite_fail_message_description;Impossible d'accepter l'invitation
accept_invite_fail_message_title;Erreur d'invitation
accept_invite_fail_session_full;Impossible de rejoindre cette session, car elle est déjà complète.
achievement_10001_desc;Terminer le didacticiel.
achievement_10001_title;Principes fondamentaux acquis
achievement_10002_desc;Dépenser un point de récompense.
achievement_10002_title;Travail gratifiant
achievement_10003_desc;Déverrouiller n'importe quel ornement de chef dans le livre des récompenses.
achievement_10003_title;Joli !
achievement_10100_desc;Dépenser 100 fragments.
achievement_10100_title;L'artisanat pour les nuls
achievement_10101_desc;Dépenser 1 000 fragments.
achievement_10101_title;Jamais assez
achievement_10102_desc;Dépenser 10 000 fragments.
achievement_10102_title;En mission
achievement_10103_desc;Dépenser 20 000 fragments.
achievement_10103_title;Influenceur de méta
achievement_10104_desc;Dépenser 50 000 fragments.
achievement_10104_title;Fabriquez-les toutes
achievement_10200_desc;Dépenser 100 unités de minerai.
achievement_10200_title;Oh, un baril !
achievement_10201_desc;Dépenser 1 000 unités de minerai.
achievement_10201_title;Nom de Gwent !
achievement_10202_desc;Dépenser 10 000 unités de minerai.
achievement_10202_title;Cent par cent
achievement_10203_desc;Dépenser 20 000 unités de minerai.
achievement_10203_title;Dépensier
achievement_10204_desc;Dépenser 50 000 unités de minerai.
achievement_10204_title;Richissime
achievement_10300_desc;Dépenser 100 poussières de météorite.
achievement_10300_title;Ça brille !
achievement_10301_desc;Dépenser 1 000 poussières de météorite.
achievement_10301_title;La belle est une bête
achievement_10302_desc;Dépenser 5 000 poussières de météorite.
achievement_10302_title;Fashionista
achievement_10303_desc;Dépenser 10 000 poussières de météorite.
achievement_10303_title;Exquis !
