_inputshopbuymultiple;구매
122105_default_deck;시기스문드 딕스트라의 덱
131101_default_deck;에레딘의 덱
132103_default_deck;삼림의 정령 덱
200055_default_deck;은자들의 장로 덱
200158_default_deck;데이건의 덱
200159_default_deck;브랜의 덱
200160_default_deck;크래치의 덱
200161_default_deck;하랄드의 덱
200162_default_deck;에미르의 덱
200163_default_deck;부히스의 덱
200164_default_deck;칼베이트의 덱
200165_default_deck;프란체스카의 덱
200166_default_deck;에트나의 덱
200167_default_deck;브루버의 덱
200168_default_deck;폴테스트의 덱
200169_default_deck;라도비드의 덱
200170_default_deck;헨젤트의 덱
201580_default_deck;찬탈자의 덱
201587_default_deck;속삭이는 언덕의 덱
201589_default_deck;필라반드렐의 덱
201595_default_deck;아다의 덱
201597_default_deck;에이스트의 덱
201743_default_deck;아라카스 여왕의 덱
202115_default_deck;엘다인의 덱
202116_default_deck;메브의 덱
202117_default_deck;게르니코라의 덱
202118_default_deck;아르달 아엡 다히의 덱
202119_default_deck;패륜아 안졸프의 덱
202148_default_deck;데머번드의 덱
202185_default_deck;디틀라프의 덱
202186_default_deck;안나의 덱
202187_default_deck;칼란데의 덱
202188_default_deck;다나의 덱
202189_default_deck;스발블로드의 덱
202303_default_deck;사생아 주니어의 덱
202328_default_deck;거지 왕초의 덱
202347_default_deck;사이러스 헴멜파트의 덱
202373_default_deck;구드론 비욘스도티르의 덱
202390_default_deck;클리버의 덱
6100_title;양 테두리 장식
accept_eula_button;해당 내용을 모두 읽었으며 이에 동의합니다
accept_invite_fail_message_description;초대 수락 실패
accept_invite_fail_message_title;초대 오류
accept_invite_fail_session_full;해당 세션이 가득 차서 초대할 수 없습니다.
achievement_10001_desc;튜토리얼을 완료하십시오.
achievement_10001_title;기본부터 철저히
achievement_10002_desc;보상 포인트를 사용하십시오.
achievement_10002_title;나를 위한 선물
achievement_10003_desc;보상 북에서 리더 장식 아이템을 잠금 해제하십시오.
achievement_10003_title;멋지군요!
achievement_10100_desc;조각 100개를 사용하십시오.
achievement_10100_title;제작의 첫걸음
achievement_10101_desc;조각 1,000개를 사용하십시오.
achievement_10101_title;다다익선
achievement_10102_desc;조각 10,000개를 사용하십시오.
achievement_10102_title;사명감으로
achievement_10103_desc;조각 20,000개를 사용하십시오.
achievement_10103_title;제작 전문가
achievement_10104_desc;조각 50,000개를 사용하십시오.
achievement_10104_title;죄다 제작하겠어
achievement_10200_desc;광석 100개를 사용하십시오.
achievement_10200_title;우오, 카드통!
achievement_10201_desc;광석 1,000개를 사용하십시오.
achievement_10201_title;오 마이 궨트!
achievement_10202_desc;광석 10,000개를 사용하십시오.
achievement_10202_title;백에 백을 곱하면
achievement_10203_desc;광석 20,000개를 사용하십시오.
achievement_10203_title;흥청망청
achievement_10204_desc;광석 50,000개를 사용하십시오.
achievement_10204_title;떼부자
