_inputshopbuymultiple;ACQUISTA
122105_default_deck;Mazzo di Sigismund Dijkstra
131101_default_deck;Mazzo di Eredin
132103_default_deck;Mazzo dello Spirito della Foresta
200055_default_deck;Mazzo dell'Invisibile
200158_default_deck;Mazzo di Dagon
200159_default_deck;Mazzo di Bran
200160_default_deck;Mazzo di Crach
200161_default_deck;Mazzo di Harald
200162_default_deck;Mazzo di Emhyr
200163_default_deck;Mazzo di Voorhis
200164_default_deck;Mazzo di Calveit
200165_default_deck;Mazzo di Francesca
200166_default_deck;Mazzo di Eithné
200167_default_deck;Mazzo di Brouver
200168_default_deck;Mazzo di Foltest
200169_default_deck;Mazzo di Radovid
200170_default_deck;Mazzo di Henselt
201580_default_deck;Mazzo dell'Usurpatore
201587_default_deck;Mazzo della Collina dei Sussurri
201589_default_deck;Mazzo di Filavandrel
201595_default_deck;Mazzo di Adda
201597_default_deck;Mazzo di Eist
201743_default_deck;Mazzo dell'Arachas regina
202115_default_deck;Mazzo di Eldain
202116_default_deck;Mazzo di Meve
202117_default_deck;Mazzo di Gernichora
202118_default_deck;Mazzo di Ardal aep Dahy
202119_default_deck;Mazzo di Arnjolf il Patricida
202148_default_deck;Mazzo di Demavend
202185_default_deck;Mazzo di Dettlaff
202186_default_deck;Mazzo di Anna
202187_default_deck;Mazzo di Calanthe
202188_default_deck;Mazzo di Dana
202189_default_deck;Mazzo di Svalblod
202303_default_deck;Mazzo di Figlio-di-puttana Junior
202328_default_deck;Mazzo del Re dei Mendicanti
202347_default_deck;Mazzo di Cyrus Hemmelfart
202373_default_deck;Mazzo di Gudrun Bjornsdottir
202390_default_deck;Mazzo di Mannaia
6100_title;Bordo Pecora
accept_eula_button;Ho letto e accetto l'Accordo di utilizzo di GWENT
accept_invite_fail_message_description;Impossibile accettare l'invito
accept_invite_fail_message_title;Errore invito
accept_invite_fail_session_full;Impossibile partecipare. La sessione è al completo.
achievement_10001_desc;Completa il tutorial.
achievement_10001_title;Le basi
achievement_10002_desc;Spendi un punto ricompensa.
achievement_10002_title;Sforzo remunerativo
achievement_10003_desc;Sblocca un ornamento da comandante nel libro delle ricompense.
achievement_10003_title;Bello!
achievement_10100_desc;Spendi 100 componenti.
achievement_10100_title;Fai da te
achievement_10101_desc;Spendi 1.000 componenti.
achievement_10101_title;Ne voglio ancora
achievement_10102_desc;Spendi 10.000 componenti.
achievement_10102_title;Tenace
achievement_10103_desc;Spendi 20.000 componenti.
achievement_10103_title;Tutto si crea, nulla si distrugge
achievement_10104_desc;Spendi 50.000 componenti.
achievement_10104_title;Maestro creativo
achievement_10200_desc;Spendi 100 pepite.
achievement_10200_title;Oh, guarda... un barile!
achievement_10201_desc;Spendi 1.000 pepite.
achievement_10201_title;Gwentolina!
achievement_10202_desc;Spendi 10.000 pepite.
achievement_10202_title;Cento per cento
achievement_10203_desc;Spendi 20.000 pepite.
achievement_10203_title;Spendaccione
achievement_10204_desc;Spendi 50.000 pepite.
achievement_10204_title;Ricco sfondato
achievement_10300_desc;Spendi 100 polvere meteorica.
achievement_10300_title;Oh, sbrilluccicosa!
achievement_10301_desc;Spendi 1.000 polvere meteorica.
achievement_10301_title;Bellezza e stile
achievement_10302_desc;Spendi 5.000 polvere meteorica.
achievement_10302_title;Modaiolo
achievement_10303_desc;Spendi 10.000 polvere meteorica.
achievement_10303_title;Davvero squisito!
achievement_10304_desc;Spendi 20.000 polvere meteorica.
achievement_10304_title;A caccia di arcobaleni
achievement_10400_desc;Spendi 10 punti ricompensa.
achievement_10400_title;Segni d'inchiostro
achievement_10401_desc;Spendi 50 punti ricompensa.
achievement_10401_title;Briciole di pane
achievement_10402_desc;Spendi 100 punti ricompensa.
achievement_10402_title;È tutto interconnesso...
achievement_10403_desc;Spendi 500 punti ricompensa.
achievement_10403_title;Amante degli alberi
achievement_10404_desc;Spendi 1.000 punti ricompensa.
achievement_10404_title;Unendo i puntini
achievement_10501_desc;Svela 10 carte nelle partite online.
achievement_10501_title;Cucù!
achievement_10502_desc;Svela 100 carte nelle partite online.
achievement_10502_title;Smascherato
achievement_10503_desc;Svela 500 carte nelle partite online.
achievement_10503_title;Non puoi nasconderti!
achievement_10504_desc;Svela 1.000 carte nelle partite online.
achievement_10504_title;Occhio onniveggente
achievement_10505_desc;Impartisci ordini a 10 unità nelle partite online.
achievement_10505_title;Formazione compatta
achievement_10506_desc;Impartisci ordini a 100 unità nelle partite online.
achievement_10506_title;Dest, sinist, dest, sinist!
