_inputshopbuymultiple;COMPRAR
122105_default_deck;Mazo de Sigismund Dijkstra
131101_default_deck;Mazo de Eredin
132103_default_deck;Mazo de Espíritu del bosque
200055_default_deck;Mazo de Anciano Oculto
200158_default_deck;Mazo de Dagon
200159_default_deck;Mazo de Bran
200160_default_deck;Mazo de Crach
200161_default_deck;Mazo de Harald
200162_default_deck;Mazo de Emhyr
200163_default_deck;Mazo de Voorhis
200164_default_deck;Mazo de Calveit
200165_default_deck;Mazo de Francesca
200166_default_deck;Mazo de Eithné
200167_default_deck;Mazo de Brouver
200168_default_deck;Mazo de Foltest
200169_default_deck;Mazo de Radovid
200170_default_deck;Mazo de Henselt
201580_default_deck;Mazo del Usurpador
201587_default_deck;Mazo de la Loma de los Susurros
201589_default_deck;Mazo de Filavandrel
201595_default_deck;Mazo de Adda
201597_default_deck;Mazo de Eist
201743_default_deck;Mazo de la Arachas reina
202115_default_deck;Mazo de Eldain
202116_default_deck;Mazo de Meve
202117_default_deck;Mazo de Gernichora
202118_default_deck;Mazo de Ardal Aep Dahy
202119_default_deck;Mazo de Arnjolf el Parricida
202148_default_deck;Mazo de Demavend
202185_default_deck;Mazo de Dettlaff
202186_default_deck;Mazo de Anna
202187_default_deck;Mazo de Calanthe
202188_default_deck;Mazo de Dana
202189_default_deck;Mazo de Svalblod
202303_default_deck;Mazo de Hijo de perra junior
202328_default_deck;Mazo del Rey de los Mendigos
202347_default_deck;Mazo de Cyrus Hemmelfart
202373_default_deck;Mazo de Gudrun Bjornsdottir
202390_default_deck;Mazo de Sacabuche
38512;N/A
6100_title;Borde de barco
accept_eula_button;Leí y acepto el Acuerdo de Usuario de GWENT
accept_invite_fail_message_description;No se pudo aceptar la invitación
accept_invite_fail_message_title;Error de invitación
accept_invite_fail_session_full;La sesión está llena. Es imposible unirse.
achievement_10001_desc;Completa el tutorial.
achievement_10001_title;Amo de lo básico
achievement_10002_desc;Gasta un punto de recompensa.
achievement_10002_title;Esfuerzo recompensado
achievement_10003_desc;Desbloquea cualquier adorno de líder del libro de recompensas.
achievement_10003_title;¡Qué elegancia!
achievement_10100_desc;Gasta 100 retazos.
achievement_10100_title;Creación para principiantes
achievement_10101_desc;Gasta 1000 retazos.
achievement_10101_title;Necesito más
achievement_10102_desc;Gasta 10 000 retazos.
achievement_10102_title;En una misión
achievement_10103_desc;Gasta 20 000 retazos.
achievement_10103_title;Metacambiador
achievement_10104_desc;Gasta 50 000 retazos.
achievement_10104_title;Tengo que crearlos a todos
achievement_10200_desc;Gasta 100 minerales.
achievement_10200_title;Miren, un barril
achievement_10201_desc;Gasta 1000 minerales.
achievement_10201_title;¡Oh, mi Gwent!
achievement_10202_desc;Gasta 10 000 minerales.
achievement_10202_title;Cien por cien
achievement_10203_desc;Gasta 20 000 minerales.
achievement_10203_title;Ahorro de gastos
achievement_10204_desc;Gasta 50 000 minerales.
achievement_10204_title;Asquerosamente rico
achievement_10300_desc;Gasta 100 polvos meteoríticos.
achievement_10300_title;¡Oh, brilla!
achievement_10301_desc;Gasta 1000 polvos meteoríticos.
achievement_10301_title;Lo lindo también es genial
achievement_10302_desc;Gasta 5000 polvos meteoríticos.
achievement_10302_title;A la última moda
achievement_10303_desc;Gasta 10 000 polvos meteoríticos.
achievement_10303_title;Simplemente exquisito
achievement_10304_desc;Gasta 20 000 polvos meteoríticos.
achievement_10304_title;Persiguiendo arcoíris
achievement_10400_desc;Gasta 10 puntos de recompensa.
achievement_10400_title;Marcas de tinta
achievement_10401_desc;Gasta 50 puntos de recompensa.
achievement_10401_title;Camino de migajas
achievement_10402_desc;Gasta 100 puntos de recompensa.
achievement_10402_title;Todo está interconectado
achievement_10403_desc;Gasta 500 puntos de recompensa.
achievement_10403_title;Amante de árboles
achievement_10404_desc;Gasta 1000 puntos de recompensa.
achievement_10404_title;Conecta los puntos
achievement_10501_desc;Revela 10 cartas en partidas en línea.
achievement_10501_title;Dónde estás
achievement_10502_desc;Revela 100 cartas en partidas en línea.
achievement_10502_title;Sin máscara
achievement_10503_desc;Revela 500 cartas en partidas en línea.
achievement_10503_title;No puedes ocultarte
